context_id,role,pred,gold
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员人数,"[(31, 33)]","[(31, 33)]"
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-时间,"[(22, 24)]","[(22, 24)]"
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员方,[],[]
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员方,"[(17, 21)]","[(17, 21), (28, 33)]"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员方,[],"[(14, 15)]"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-加盟者,"[(39, 47)]","[(39, 47)]"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-所加盟组织,"[(16, 17)]","[(16, 17)]"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-解雇方,"[(14, 15)]",[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-被解雇人员,"[(41, 49)]",[]
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员方,"[(20, 20)]","[(20, 20)]"
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员人数,"[(25, 28), (39, 42)]","[(60, 63)]"
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员方,"[(22, 24)]","[(22, 27)]"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-收购方,"[(35, 35)]","[(35, 35)]"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售方,[],"[(38, 41)]"
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-时间,"[(12, 13)]","[(12, 13)]"
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员方,"[(16, 19)]","[(16, 17)]"
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员人数,"[(23, 24)]","[(23, 24)]"
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员方,[],"[(21, 22)]"
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-时间,[],[]
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员方,"[(13, 20)]","[(13, 20)]"
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员人数,"[(24, 25)]","[(24, 25)]"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员方,"[(16, 17)]","[(16, 17)]"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-退出方,"[(16, 90)]","[(83, 90)]"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-原所属组织,"[(18, 19)]","[(96, 97)]"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-时间,"[(23, 25)]",[]
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员方,"[(13, 16)]","[(13, 16)]"
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员人数,"[(31, 33)]","[(31, 33)]"
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员方,"[(23, 24)]","[(23, 24)]"
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员人数,"[(44, 45)]","[(44, 45)]"
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-时间,[],[]
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员方,"[(13, 13)]","[(13, 13)]"
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员人数,"[(18, 19)]","[(18, 19)]"
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-时间,"[(43, 54)]","[(43, 54)]"
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-坍塌主体,"[(58, 86)]","[(60, 86)]"
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-坍塌主体,"[(22, 27)]","[(22, 27)]"
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-死亡人数,"[(31, 32)]","[(31, 32)]"
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-地点,[],"[(15, 16)]"
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-受伤人数,[],[]
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-坍塌主体,"[(26, 29)]","[(17, 29)]"
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-死亡人数,"[(33, 34)]","[(33, 34)]"
ea027504736dd02c9d075190b0479904,人生-死亡-地点,"[(19, 22)]",[]
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-坍塌主体,"[(17, 23)]","[(17, 23)]"
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-死亡人数,"[(27, 28)]","[(27, 28)]"
0198620fafb91ba57c64f810a2fdce60,人生-死亡-地点,"[(10, 16)]","[(10, 11)]"
0198620fafb91ba57c64f810a2fdce60,人生-失联-地点,"[(10, 16)]","[(10, 11)]"
046a86a7769f5a361eec197fa8404a49,人生-死亡-死者年龄,"[(17, 18)]",[]
046a86a7769f5a361eec197fa8404a49,人生-死亡-死者,[],[]
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-时间,"[(15, 18), (67, 70)]","[(15, 18), (67, 70)]"
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-坍塌主体,[],"[(31, 46), (83, 97)]"
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-死亡人数,[],"[(54, 55), (101, 102)]"
6d5b61216556ea335377a60923cf3ea5,人生-死亡-时间,"[(10, 13)]","[(10, 13), (62, 65)]"
6d5b61216556ea335377a60923cf3ea5,人生-死亡-地点,"[(24, 34)]","[(24, 39), (76, 90)]"
1765512c8e8716259bd40ab9d0b2966a,灾害/意外-坍/垮塌-坍塌主体,"[(17, 21)]","[(17, 21)]"
1765512c8e8716259bd40ab9d0b2966a,灾害/意外-坍/垮塌-死亡人数,[],"[(32, 33)]"
ae7e4243b3817d0ca48ff8c613a1582e,灾害/意外-坍/垮塌-时间,"[(15, 28)]","[(15, 28)]"
ae7e4243b3817d0ca48ff8c613a1582e,灾害/意外-坍/垮塌-坍塌主体,[],"[(55, 77)]"
bb9a4da860d2d095a42272bbf19d8193,灾害/意外-坍/垮塌-坍塌主体,"[(17, 23)]","[(17, 23)]"
bb9a4da860d2d095a42272bbf19d8193,灾害/意外-坍/垮塌-死亡人数,"[(27, 28)]","[(27, 27)]"
eb072d9a8d983591b1b5af729a41649d,组织关系-解约-解约方,"[(17, 19)]","[(17, 19)]"
eb072d9a8d983591b1b5af729a41649d,组织关系-解约-被解约方,"[(23, 25)]","[(23, 25)]"
5934464a705167ff1aabb5ebddff2435,组织关系-解约-解约方,"[(25, 27)]","[(25, 27)]"
5934464a705167ff1aabb5ebddff2435,组织关系-解约-被解约方,"[(26, 28)]","[(32, 33)]"
ad9a7af7c7b3c0cb6c161bf1c532b6bb,组织关系-解约-解约方,"[(13, 15)]","[(13, 15)]"
ad9a7af7c7b3c0cb6c161bf1c532b6bb,组织关系-解约-被解约方,"[(14, 16)]",[]
328821013fd2ffa0d7f55ad8634d972e,组织关系-解约-解约方,"[(18, 19)]","[(18, 19)]"
328821013fd2ffa0d7f55ad8634d972e,组织关系-解约-被解约方,"[(19, 20)]",[]
72d9543da081221ee04074ef39108e67,产品行为-召回-召回方,"[(16, 30)]","[(16, 30)]"
72d9543da081221ee04074ef39108e67,产品行为-召回-时间,"[(89, 94)]","[(89, 94)]"
72d9543da081221ee04074ef39108e67,产品行为-召回-召回内容,[],"[(101, 115)]"
2949be65e18f1f16ec01cca8b395f1b8,产品行为-召回-召回方,"[(16, 26)]","[(16, 26)]"
2949be65e18f1f16ec01cca8b395f1b8,产品行为-召回-召回内容,"[(95, 108)]","[(95, 108)]"
2949be65e18f1f16ec01cca8b395f1b8,产品行为-召回-时间,[],[]
8556cf92f329fe7edd941576ce2fe4f1,产品行为-召回-召回方,"[(35, 46)]","[(35, 46)]"
8556cf92f329fe7edd941576ce2fe4f1,产品行为-召回-时间,[],"[(105, 107)]"
8556cf92f329fe7edd941576ce2fe4f1,产品行为-召回-召回内容,[],"[(113, 143)]"
bbcd98414cc06a2fc2c8a81327929d8d,产品行为-召回-召回方,"[(35, 48)]","[(35, 48)]"
bbcd98414cc06a2fc2c8a81327929d8d,产品行为-召回-召回内容,[],"[(98, 128)]"
bbcd98414cc06a2fc2c8a81327929d8d,产品行为-召回-时间,"[(12, 17)]","[(90, 92)]"
e4e801318ba92705a54a49055f41b5f7,产品行为-召回-召回方,"[(24, 27)]","[(24, 31)]"
e4e801318ba92705a54a49055f41b5f7,产品行为-召回-召回内容,"[(37, 45)]","[(37, 45)]"
5504403e4b54c7102ca7822c933f8bd2,产品行为-召回-召回方,"[(31, 32)]","[(31, 32)]"
5504403e4b54c7102ca7822c933f8bd2,产品行为-召回-召回内容,"[(19, 22)]","[(19, 22)]"
958456db4a49e4b478a4c3bf97993ab0,产品行为-召回-召回方,"[(37, 38)]","[(37, 38)]"
958456db4a49e4b478a4c3bf97993ab0,产品行为-召回-召回内容,"[(97, 102)]","[(97, 98)]"
ee933c120e80d45ae4009db2f1b76a93,产品行为-召回-时间,"[(12, 17)]","[(12, 17)]"
ee933c120e80d45ae4009db2f1b76a93,产品行为-召回-召回方,"[(56, 70)]",[]
ee933c120e80d45ae4009db2f1b76a93,产品行为-召回-召回内容,"[(74, 83)]",[]
797df2caf0a7b2e53bdc631250647045,产品行为-召回-召回方,"[(13, 14)]","[(13, 14)]"
797df2caf0a7b2e53bdc631250647045,产品行为-召回-召回内容,"[(27, 32)]","[(27, 32)]"
474cc742ad4d95463fc01381de1e2f54,产品行为-召回-召回方,"[(29, 47)]","[(29, 47)]"
474cc742ad4d95463fc01381de1e2f54,产品行为-召回-召回内容,"[(58, 64)]","[(58, 64)]"
f5581c551e615528a3cbc8140d34f073,产品行为-召回-召回内容,"[(14, 20)]","[(14, 20)]"
8e0111dde773d4042604509a9cea2b03,产品行为-召回-召回方,"[(23, 34)]","[(23, 34)]"
8e0111dde773d4042604509a9cea2b03,产品行为-召回-召回内容,[],"[(39, 41)]"
ec9f40aee1453f414fb6356c5dcfed25,产品行为-召回-召回方,"[(13, 14)]","[(13, 14)]"
ec9f40aee1453f414fb6356c5dcfed25,产品行为-召回-召回内容,"[(18, 30)]","[(18, 30)]"
c06db5a1f1e8519ad083d4a4569d69a7,产品行为-召回-召回方,"[(13, 15)]","[(13, 15)]"
c06db5a1f1e8519ad083d4a4569d69a7,产品行为-召回-召回内容,"[(18, 25)]","[(18, 25)]"
c51d930f9aa449f0651271791a7e8327,产品行为-召回-召回内容,[],"[(22, 25)]"
c51d930f9aa449f0651271791a7e8327,产品行为-召回-召回方,"[(13, 16)]",[]
aedfe42d056157a2fc470d5fc84efce2,产品行为-召回-召回方,"[(32, 41)]","[(32, 51)]"
aedfe42d056157a2fc470d5fc84efce2,产品行为-召回-召回内容,"[(64, 93)]","[(64, 93)]"
aedfe42d056157a2fc470d5fc84efce2,产品行为-召回-时间,"[(52, 57)]",[]
8ba207d01df4acb93dbfdb7405a4bfcc,产品行为-召回-召回方,"[(16, 27)]","[(16, 27)]"
8ba207d01df4acb93dbfdb7405a4bfcc,产品行为-召回-时间,"[(88, 90)]","[(87, 90)]"
e9e235dea9c7d297978c2df50406e67e,产品行为-召回-召回方,"[(46, 57)]","[(46, 57)]"
e9e235dea9c7d297978c2df50406e67e,产品行为-召回-召回内容,[],"[(126, 161)]"
e9e235dea9c7d297978c2df50406e67e,产品行为-召回-时间,[],"[(118, 120)]"
29e691aaa2e5b9741403c6ed0891556b,产品行为-召回-召回内容,"[(14, 21)]","[(14, 21)]"
29e691aaa2e5b9741403c6ed0891556b,产品行为-召回-召回方,"[(27, 27)]","[(27, 29)]"
3c76ae7a9027abbedc4acfad18599b22,产品行为-召回-召回内容,"[(41, 44)]","[(41, 49)]"
3c76ae7a9027abbedc4acfad18599b22,产品行为-召回-时间,"[(12, 16)]",[]
7a6528956e4d91002806e6d44ce0ca4e,产品行为-召回-召回方,"[(16, 29)]","[(16, 29)]"
