context_id,role,pred,gold
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员人数,['900余人'],['900余人']
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-时间,['5月份'],['5月份']
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员方,[],[]
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员方,['中国it企业'],"['中国it企业', '500强的甲骨文']"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员方,[],['猛龙']
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-加盟者,['前锋萨加巴-科纳特'],['前锋萨加巴-科纳特']
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-所加盟组织,['猛龙'],['猛龙']
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-解雇方,['猛龙'],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-被解雇人员,['前锋萨加巴-科纳特'],[]
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员方,['ibm'],['ibm']
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员人数,"['超过1000人', '一千多人']",['1700名员工']
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员方,['甲骨文'],['甲骨文中国区']
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-收购方,['ibm'],['ibm']
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售方,[],['红帽公司']
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-时间,['近期'],['近期']
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员方,['蔚来美国'],['蔚来']
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员人数,['70人'],['70人']
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员方,[],['网易']
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-时间,[],[]
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员方,['油服巨头哈里伯顿'],['油服巨头哈里伯顿']
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员人数,['650人'],['650人']
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员方,['魅族'],['魅族']
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-退出方,['魅族员工表示，从6月份开始，魅族开始了新一轮裁员，重点裁员区域是营销和线下。裁员占比超过30%，剩余员工将不过千余人，魅族的知名工程师，爱讲真话的洪汉生'],['爱讲真话的洪汉生']
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-原所属组织,['魅族'],['钉钉']
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-时间,['6月份'],[]
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员方,['富国银行'],['富国银行']
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员人数,['200多名'],['200多名']
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员方,['we##work'],['we##work']
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员人数,['2000人'],['2000人']
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-时间,[],[]
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员方,['uber'],['uber']
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员人数,['435人'],['435人']
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-时间,['7月13日晚上20点20分左右'],['7月13日晚上20点20分左右']
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-坍塌主体,['位于麒麟区交通路美佳华商场一楼屈臣氏商店后部约100平方米楼层'],['麒麟区交通路美佳华商场一楼屈臣氏商店后部约100平方米楼层']
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-坍塌主体,['贵阳项目挡墙'],['贵阳项目挡墙']
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-死亡人数,['8人'],['8人']
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-地点,[],['贵阳']
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-受伤人数,[],[]
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-坍塌主体,['贵阳项目'],['冲刺千亿的美的置业贵阳项目']
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-死亡人数,['8人'],['8人']
ea027504736dd02c9d075190b0479904,人生-死亡-地点,['贵阳项目'],[]
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-坍塌主体,['青岛地铁施工段'],['青岛地铁施工段']
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-死亡人数,['3人'],['3人']
0198620fafb91ba57c64f810a2fdce60,人生-死亡-地点,['青岛地铁施工段'],['青岛']
0198620fafb91ba57c64f810a2fdce60,人生-失联-地点,['青岛地铁施工段'],['青岛']
046a86a7769f5a361eec197fa8404a49,人生-死亡-死者年龄,['26岁'],[]
046a86a7769f5a361eec197fa8404a49,人生-死亡-死者,[],[]
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-时间,"['7月4日', '5月27日']","['7月4日', '5月27日']"
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-坍塌主体,[],"['青岛地铁1号线胜利桥站施工围挡处', '地铁4号线沙子口静沙区间施工段']"
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-死亡人数,[],"['一名', '5名']"
6d5b61216556ea335377a60923cf3ea5,人生-死亡-时间,['7月4日'],"['7月4日', '5月27日']"
6d5b61216556ea335377a60923cf3ea5,人生-死亡-地点,['青岛地铁1号线胜利桥站'],"['青岛地铁1号线胜利桥站施工围挡处', '地铁4号线沙子口静沙区间施工段']"
1765512c8e8716259bd40ab9d0b2966a,灾害/意外-坍/垮塌-坍塌主体,['百色一酒吧'],['百色一酒吧']
1765512c8e8716259bd40ab9d0b2966a,灾害/意外-坍/垮塌-死亡人数,[],['4死']
ae7e4243b3817d0ca48ff8c613a1582e,灾害/意外-坍/垮塌-时间,['今天（10月14日）上午8点20分'],['今天（10月14日）上午8点20分']
ae7e4243b3817d0ca48ff8c613a1582e,灾害/意外-坍/垮塌-坍塌主体,[],['城中片区办公楼（原县二轻局办公楼）楼道及卫生间']
bb9a4da860d2d095a42272bbf19d8193,灾害/意外-坍/垮塌-坍塌主体,['四川一煤矿顶板'],['四川一煤矿顶板']
bb9a4da860d2d095a42272bbf19d8193,灾害/意外-坍/垮塌-死亡人数,['3死'],['3']
eb072d9a8d983591b1b5af729a41649d,组织关系-解约-解约方,['莫里斯'],['莫里斯']
eb072d9a8d983591b1b5af729a41649d,组织关系-解约-被解约方,['经纪人'],['经纪人']
5934464a705167ff1aabb5ebddff2435,组织关系-解约-解约方,['彭昱畅'],['彭昱畅']
5934464a705167ff1aabb5ebddff2435,组织关系-解约-被解约方,['彭昱畅'],['片方']
ad9a7af7c7b3c0cb6c161bf1c532b6bb,组织关系-解约-解约方,['赖冠霖'],['赖冠霖']
ad9a7af7c7b3c0cb6c161bf1c532b6bb,组织关系-解约-被解约方,['赖冠霖'],[]
328821013fd2ffa0d7f55ad8634d972e,组织关系-解约-解约方,['刘雯'],['刘雯']
328821013fd2ffa0d7f55ad8634d972e,组织关系-解约-被解约方,['刘雯'],[]
72d9543da081221ee04074ef39108e67,产品行为-召回-召回方,['保时捷（中国）汽车销售有限公司'],['保时捷（中国）汽车销售有限公司']
72d9543da081221ee04074ef39108e67,产品行为-召回-时间,['2019年8月26日'],['2019年8月26日']
72d9543da081221ee04074ef39108e67,产品行为-召回-召回内容,[],['部分进口ca##ye##nne、pan##ame##ra系列汽车']
2949be65e18f1f16ec01cca8b395f1b8,产品行为-召回-召回方,['一汽-大众汽车有限公司'],['一汽-大众汽车有限公司']
2949be65e18f1f16ec01cca8b395f1b8,产品行为-召回-召回内容,['部分奥迪q3(参数|询价)车型'],['部分奥迪q3(参数|询价)车型']
2949be65e18f1f16ec01cca8b395f1b8,产品行为-召回-时间,[],[]
8556cf92f329fe7edd941576ce2fe4f1,产品行为-召回-召回方,['天津一汽丰田汽车有限公司'],['天津一汽丰田汽车有限公司']
8556cf92f329fe7edd941576ce2fe4f1,产品行为-召回-时间,[],['即日起']
8556cf92f329fe7edd941576ce2fe4f1,产品行为-召回-召回内容,[],['2015年1月22日至2019年1月23日期间生产的部分皇冠汽车，共计130##37##5辆']
bbcd98414cc06a2fc2c8a81327929d8d,产品行为-召回-召回方,['宝马(中国)汽车贸易有限公司'],['宝马(中国)汽车贸易有限公司']
bbcd98414cc06a2fc2c8a81327929d8d,产品行为-召回-召回内容,[],['2018年11月21日至2019年3月8日期间生产的部分进口x7汽车，共计209辆。']
bbcd98414cc06a2fc2c8a81327929d8d,产品行为-召回-时间,['6月20日下午'],['即日起']
e4e801318ba92705a54a49055f41b5f7,产品行为-召回-召回方,['长城汽车'],['长城汽车(023##33)']
e4e801318ba92705a54a49055f41b5f7,产品行为-召回-召回内容,['626##55辆哈弗h2##s汽车'],['626##55辆哈弗h2##s汽车']
5504403e4b54c7102ca7822c933f8bd2,产品行为-召回-召回方,['宝马'],['宝马']
5504403e4b54c7102ca7822c933f8bd2,产品行为-召回-召回内容,['83万辆车'],['83万辆车']
958456db4a49e4b478a4c3bf97993ab0,产品行为-召回-召回方,['奔驰'],['奔驰']
958456db4a49e4b478a4c3bf97993ab0,产品行为-召回-召回内容,['汽车达72万辆'],['汽车']
ee933c120e80d45ae4009db2f1b76a93,产品行为-召回-时间,['2019年7月12日'],['2019年7月12日']
ee933c120e80d45ae4009db2f1b76a93,产品行为-召回-召回方,['上海施耐德低压终端电器有限公司'],[]
ee933c120e80d45ae4009db2f1b76a93,产品行为-召回-召回内容,['部分剩余电流保护装置'],[]
797df2caf0a7b2e53bdc631250647045,产品行为-召回-召回方,['奔驰'],['奔驰']
