context_id,role,cls_predict,label,pred_position,gold_position,score2
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员人数,1,1,"[(31, 33)]","[(31, 33)]","{(31, 33): 1.9278919}"
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-时间,1,1,"[(22, 24)]","[(22, 24)]","{(22, 24): 1.8881658}"
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员方,0,0,[],[],{}
b90900665eee74f658eed125a321ee06,组织关系-裁员-时间,0,1,[],"[(12, 14)]",{}
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员方,1,1,"[(17, 41)]","[(17, 41)]","{(17, 41): 1.63119}"
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员人数,0,0,[],[],{}
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员方,1,1,"[(17, 21)]","[(17, 21), (28, 33)]","{(17, 21): 1.8261523}"
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-时间,0,0,[],[],{}
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员人数,0,0,[],[],{}
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员方,1,1,"[(35, 36), (39, 47)]","[(14, 15)]","{(35, 36): 1.3863764, (39, 47): 1.257012}"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-加盟者,1,1,"[(39, 47)]","[(39, 47)]","{(39, 47): 1.8730828}"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-所加盟组织,1,1,[],"[(16, 17)]",{}
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-时间,0,0,[],[],{}
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-解雇方,1,0,"[(35, 36)]",[],"{(35, 36): 1.2834082}"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-被解雇人员,1,0,"[(41, 49)]",[],"{(41, 49): 1.7786993}"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-时间,0,0,[],[],{}
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-时间,0,0,[],[],{}
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员人数,0,0,[],[],{}
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员方,1,1,"[(29, 39)]","[(29, 39)]","{(29, 39): 1.6158801}"
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员人数,1,1,"[(59, 60)]","[(57, 60)]","{(59, 60): 1.7273856}"
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-时间,0,0,[],[],{}
bc436949df35727c97d96c2fee166113,组织关系-裁员-时间,0,1,[],"[(12, 15)]",{}
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员方,1,1,"[(20, 20), (29, 29)]","[(20, 20)]","{(20, 20): 1.8072197, (29, 29): 1.1403048}"
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员人数,1,1,"[(25, 28), (39, 42)]","[(60, 63)]","{(25, 28): 1.5606881, (39, 42): 1.3436688}"
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员方,1,1,"[(22, 24), (31, 31)]","[(22, 27)]","{(22, 24): 1.9277835, (31, 31): 1.3477335}"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-收购方,1,1,"[(35, 35)]","[(35, 35)]","{(35, 35): 1.7004158}"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售方,1,1,[],"[(38, 41)]",{}
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-时间,0,0,[],[],{}
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售价格,0,0,[],[],{}
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-时间,0,0,[],[],{}
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员人数,0,0,[],[],{}
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-交易物,0,0,[],[],{}
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-时间,1,1,"[(12, 13)]","[(12, 13)]","{(12, 13): 1.9748949}"
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员方,1,1,"[(16, 19)]","[(16, 17)]","{(16, 19): 1.9583244}"
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员人数,1,1,"[(23, 24)]","[(23, 24)]","{(23, 24): 1.8916882}"
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员方,1,1,"[(32, 33)]","[(21, 22)]","{(32, 33): 1.7792436}"
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-时间,1,0,[],[],{}
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员人数,0,0,[],[],{}
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员方,1,1,"[(13, 20)]","[(13, 20)]","{(13, 20): 1.798629}"
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员人数,1,1,"[(24, 25)]","[(24, 25)]","{(24, 25): 1.9400141}"
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-时间,0,0,[],[],{}
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员方,1,1,"[(16, 17), (30, 31)]","[(16, 17)]","{(16, 17): 1.8387018, (30, 31): 1.7102743}"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-退出方,1,1,"[(16, 90)]","[(83, 90)]","{(16, 90): 1.8177978}"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-原所属组织,1,1,"[(18, 19), (96, 97)]","[(96, 97)]","{(18, 19): 1.4371672, (96, 97): 1.6138502}"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-时间,0,0,[],[],{}
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-时间,1,0,[],[],{}
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员人数,0,0,[],[],{}
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员方,1,1,"[(18, 18)]","[(18, 18)]","{(18, 18): 1.8290957}"
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-时间,0,0,[],[],{}
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员人数,0,0,[],[],{}
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员方,1,1,"[(13, 16), (30, 35)]","[(13, 16)]","{(13, 16): 1.9527057, (30, 35): 1.1143347}"
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员人数,1,1,"[(31, 33)]","[(31, 33)]","{(31, 33): 1.8324019}"
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-时间,0,0,[],[],{}
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员方,1,1,"[(23, 24)]","[(23, 24)]","{(23, 24): 1.8821883}"
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员人数,1,1,"[(44, 45)]","[(44, 45)]","{(44, 45): 1.4746488}"
