context_id,role,cls_predict,label,pred_position,gold_position,score2
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员人数,1,1,"[(31, 33)]","[(31, 33)]","{(31, 33): 1.8695}"
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-时间,1,1,"[(22, 24)]","[(22, 24)]","{(22, 24): 1.9088}"
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员方,0,0,[],[],{}
b90900665eee74f658eed125a321ee06,组织关系-裁员-时间,1,1,"[(12, 14)]","[(12, 14)]","{(12, 14): 1.9128}"
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员方,1,1,"[(34, 41)]","[(17, 41)]","{(34, 41): 1.7859}"
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员人数,0,0,[],[],{}
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员方,1,1,"[(17, 21), (31, 33)]","[(17, 21), (28, 33)]","{(17, 21): 1.4257, (31, 33): 1.4653}"
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-时间,0,0,[],[],{}
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员人数,0,0,[],[],{}
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员方,1,1,"[(39, 47)]","[(14, 15)]","{(39, 47): 1.6666}"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-加盟者,1,1,"[(39, 47)]","[(39, 47)]","{(39, 47): 1.6828}"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-所加盟组织,1,1,"[(16, 17)]","[(16, 17)]","{(16, 17): 1.5873}"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-时间,0,0,[],[],{}
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-解雇方,1,0,"[(14, 36)]",[],"{(14, 36): 1.0733}"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-被解雇人员,1,0,"[(41, 49)]",[],"{(41, 49): 1.5733}"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-时间,0,0,[],[],{}
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-时间,0,0,[],[],{}
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员人数,0,0,[],[],{}
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员方,1,1,"[(29, 39)]","[(29, 39)]","{(29, 39): 1.1367}"
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员人数,1,1,"[(59, 60)]","[(57, 60)]","{(59, 60): 1.5703}"
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-时间,0,0,[],[],{}
bc436949df35727c97d96c2fee166113,组织关系-裁员-时间,0,1,[],"[(12, 15)]",{}
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员方,1,1,"[(20, 20), (29, 29)]","[(20, 20)]","{(20, 20): 1.6257, (29, 29): 1.6972}"
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员人数,1,1,"[(39, 28)]","[(60, 63)]","{(39, 28): 1.478}"
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员方,1,1,"[(22, 24)]","[(22, 27)]","{(22, 24): 1.8489}"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-收购方,1,1,"[(35, 35)]","[(35, 35)]","{(35, 35): 1.2282}"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售方,1,1,"[(26, 35), (38, 41)]","[(38, 41)]","{(26, 35): 1.2572, (38, 41): 1.2219}"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-时间,0,0,[],[],{}
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售价格,0,0,[],[],{}
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-时间,0,0,[],[],{}
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员人数,0,0,[],[],{}
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-交易物,0,0,[],[],{}
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-时间,1,1,"[(12, 13)]","[(12, 13)]","{(12, 13): 1.7105}"
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员方,1,1,"[(16, 19)]","[(16, 17)]","{(16, 19): 1.9505}"
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员人数,1,1,"[(23, 24)]","[(23, 24)]","{(23, 24): 1.7543}"
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员方,1,1,"[(21, 33)]","[(21, 22)]","{(21, 33): 1.3265}"
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-时间,1,0,"[(38, 41)]",[],"{(38, 41): 1.1249}"
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员人数,0,0,[],[],{}
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员方,1,1,"[(13, 20)]","[(13, 20)]","{(13, 20): 1.5418}"
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员人数,1,1,"[(24, 25)]","[(24, 25)]","{(24, 25): 1.7912}"
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-时间,0,0,[],[],{}
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员方,1,1,"[(16, 31)]","[(16, 17)]","{(16, 31): 1.5823}"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-退出方,1,1,[],"[(83, 90)]",{}
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-原所属组织,1,1,"[(18, 98)]","[(96, 97)]","{(18, 98): 1.028}"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-时间,0,0,[],[],{}
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-时间,1,0,"[(23, 25)]",[],"{(23, 25): 1.3951}"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员人数,0,0,[],[],{}
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员方,1,1,"[(18, 18)]","[(18, 18)]","{(18, 18): 1.6575}"
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-时间,0,0,[],[],{}
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员人数,0,0,[],[],{}
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员方,1,1,"[(13, 16)]","[(13, 16)]","{(13, 16): 1.9271}"
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员人数,1,1,"[(31, 33)]","[(31, 33)]","{(31, 33): 1.7012}"
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-时间,0,0,[],[],{}
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员方,1,1,"[(23, 24)]","[(23, 24)]","{(23, 24): 1.7821}"
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员人数,1,1,"[(44, 45)]","[(44, 45)]","{(44, 45): 1.5295}"
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-时间,0,0,[],[],{}
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员方,1,1,"[(13, 13)]","[(13, 13)]","{(13, 13): 1.7116}"
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员人数,1,1,"[(18, 19)]","[(18, 19)]","{(18, 19): 1.893}"
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-时间,0,0,[],[],{}
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-时间,1,1,"[(43, 52)]","[(43, 54)]","{(43, 52): 1.7139}"
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-坍塌主体,1,1,"[(58, 86)]","[(60, 86)]","{(58, 86): 1.5966}"
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-受伤人数,1,1,"[(108, 109)]","[(108, 109)]","{(108, 109): 1.7868}"
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-死亡人数,0,0,[],[],{}
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-坍塌主体,1,1,"[(22, 25)]","[(22, 27)]","{(22, 25): 1.8472}"
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-死亡人数,1,1,"[(31, 32)]","[(31, 32)]","{(31, 32): 1.4317}"
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-地点,1,1,"[(15, 18)]","[(15, 16)]","{(15, 18): 1.7699}"
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-时间,0,0,[],[],{}
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-死者年龄,0,0,[],[],{}
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-死者,0,0,[],[],{}
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-受伤人数,0,0,[],[],{}
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-时间,0,0,[],[],{}
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-坍塌主体,1,1,"[(26, 29)]","[(17, 29)]","{(26, 29): 1.8043}"
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-死亡人数,1,1,"[(33, 34)]","[(33, 34)]","{(33, 34): 1.3654}"
ea027504736dd02c9d075190b0479904,人生-死亡-时间,0,0,[],[],{}
ea027504736dd02c9d075190b0479904,人生-死亡-死者年龄,0,0,[],[],{}
ea027504736dd02c9d075190b0479904,人生-死亡-死者,0,0,[],[],{}
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-受伤人数,0,0,[],[],{}
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-时间,0,0,[],[],{}
ea027504736dd02c9d075190b0479904,人生-死亡-地点,1,0,"[(19, 22)]",[],"{(19, 22): 1.785}"
