context_id,role,label,pred_position,gold_position
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员人数,1,"[(31, 33)]","[(31, 33)]"
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-时间,1,"[(22, 24)]","[(22, 24)]"
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员方,0,[],[]
b90900665eee74f658eed125a321ee06,组织关系-裁员-时间,1,[],"[(12, 14)]"
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员方,1,"[(17, 41)]","[(17, 41)]"
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员人数,0,[],[]
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员方,1,[],"[(17, 21), (28, 33)]"
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-时间,0,[],[]
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员人数,0,[],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员方,1,"[(14, 15)]","[(14, 15)]"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-加盟者,1,"[(39, 47)]","[(39, 47)]"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-所加盟组织,1,"[(16, 17)]","[(16, 17)]"
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-时间,0,[],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-解雇方,0,"[(14, 15)]",[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-被解雇人员,0,"[(41, 49)]",[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-时间,0,[],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-时间,0,[],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员人数,0,[],[]
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员方,1,"[(29, 39)]","[(29, 39)]"
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员人数,1,"[(59, 60)]","[(57, 60)]"
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-时间,0,[],[]
bc436949df35727c97d96c2fee166113,组织关系-裁员-时间,1,[],"[(12, 15)]"
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员方,1,"[(20, 20)]","[(20, 20)]"
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员人数,1,"[(25, 28), (39, 42)]","[(60, 63)]"
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员方,1,"[(22, 27)]","[(22, 27)]"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-收购方,1,"[(35, 35)]","[(35, 35)]"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售方,1,"[(38, 41)]","[(38, 41)]"
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-时间,0,[],[]
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售价格,0,[],[]
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-时间,0,[],[]
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员人数,0,[],[]
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-交易物,0,[],[]
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-时间,1,"[(12, 13)]","[(12, 13)]"
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员方,1,"[(16, 17)]","[(16, 17)]"
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员人数,1,"[(23, 24)]","[(23, 24)]"
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员方,1,"[(21, 22)]","[(21, 22)]"
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-时间,0,[],[]
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员人数,0,[],[]
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员方,1,"[(13, 20)]","[(13, 20)]"
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员人数,1,"[(24, 25)]","[(24, 25)]"
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-时间,0,[],[]
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员方,1,"[(16, 17)]","[(16, 17)]"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-退出方,1,[],"[(83, 90)]"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-原所属组织,1,[],"[(96, 97)]"
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-时间,0,[],[]
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-时间,0,"[(23, 25)]",[]
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员人数,0,"[(71, 73)]",[]
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员方,1,"[(18, 18)]","[(18, 18)]"
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-时间,0,[],[]
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员人数,0,[],[]
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员方,1,"[(13, 16)]","[(13, 16)]"
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员人数,1,"[(31, 33)]","[(31, 33)]"
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-时间,0,[],[]
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员方,1,"[(23, 24)]","[(23, 24)]"
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员人数,1,"[(42, 45)]","[(44, 45)]"
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-时间,0,[],[]
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员方,1,"[(13, 13)]","[(13, 13)]"
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员人数,1,"[(18, 19)]","[(18, 19)]"
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-时间,0,[],[]
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-时间,1,"[(43, 54)]","[(43, 54)]"
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-坍塌主体,1,"[(60, 86)]","[(60, 86)]"
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-受伤人数,1,"[(108, 109)]","[(108, 109)]"
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-死亡人数,0,[],[]
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-坍塌主体,1,"[(22, 27)]","[(22, 27)]"
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-死亡人数,1,"[(31, 32)]","[(31, 32)]"
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-地点,1,[],"[(15, 16)]"
