nohup: ignoring input
Start training.
--------------- The 1-th fold as the validation set... ---------------
Cascade_Binary: Preprocessing dataset...
Data length:  11314
Epoch id: 1, Training steps: 250, Loss: 260.097351
Epoch id: 1, Training steps: 500, Loss: 174.754288
Epoch id: 1, Training steps: 750, Loss: 125.749481
Epoch id: 1, Training steps: 1000, Loss: 143.757996
Epoch id: 1, Training steps: 1250, Loss: 100.044647
Epoch id: 2, Training steps: 250, Loss: 112.811646
Epoch id: 2, Training steps: 500, Loss: 110.828720
Epoch id: 2, Training steps: 750, Loss: 89.049652
Epoch id: 2, Training steps: 1000, Loss: 74.611008
Epoch id: 2, Training steps: 1250, Loss: 70.162994
Epoch id: 3, Training steps: 250, Loss: 83.470123
Epoch id: 3, Training steps: 500, Loss: 75.928932
Epoch id: 3, Training steps: 750, Loss: 78.375816
Epoch id: 3, Training steps: 1000, Loss: 66.526917
Epoch id: 3, Training steps: 1250, Loss: 87.662285
Epoch id: 4, Training steps: 250, Loss: 90.875443
Epoch id: 4, Training steps: 500, Loss: 86.612213
Epoch id: 4, Training steps: 750, Loss: 115.872375
Epoch id: 4, Training steps: 1000, Loss: 64.517342
Epoch id: 4, Training steps: 1250, Loss: 64.120644
Epoch id: 5, Training steps: 250, Loss: 62.490746
Epoch id: 5, Training steps: 500, Loss: 73.389053
Epoch id: 5, Training steps: 750, Loss: 104.105286
Epoch id: 5, Training steps: 1000, Loss: 77.399193
Epoch id: 5, Training steps: 1250, Loss: 85.801331
Event: total_right, total_predict, predict_right: 5002, 0, 0
Event: precision, recall, and f1: 0.000, 0.000, 0.000
Role: total_right, total_predict, predict_right: 5354, 0, 0
Role: precision, recall, and f1: 0.000, 0.000, 0.000
Saving middle model...
Epoch id: 6, Training steps: 250, Loss: 85.738388
Epoch id: 6, Training steps: 500, Loss: 99.749268
Epoch id: 6, Training steps: 750, Loss: 64.737251
Epoch id: 6, Training steps: 1000, Loss: 59.188652
Epoch id: 6, Training steps: 1250, Loss: 83.549271
Epoch id: 7, Training steps: 250, Loss: 76.024353
Epoch id: 7, Training steps: 500, Loss: 62.685398
Epoch id: 7, Training steps: 750, Loss: 60.018951
Epoch id: 7, Training steps: 1000, Loss: 55.210152
Epoch id: 7, Training steps: 1250, Loss: 88.146523
Epoch id: 8, Training steps: 250, Loss: 58.450661
Epoch id: 8, Training steps: 500, Loss: 57.767502
Epoch id: 8, Training steps: 750, Loss: 101.050781
Epoch id: 8, Training steps: 1000, Loss: 79.044617
Epoch id: 8, Training steps: 1250, Loss: 47.032116
Epoch id: 9, Training steps: 250, Loss: 75.931206
Epoch id: 9, Training steps: 500, Loss: 89.842903
Epoch id: 9, Training steps: 750, Loss: 88.042625
Epoch id: 9, Training steps: 1000, Loss: 61.734680
Epoch id: 9, Training steps: 1250, Loss: 76.752991
Epoch id: 10, Training steps: 250, Loss: 58.374237
Epoch id: 10, Training steps: 500, Loss: 47.109276
Epoch id: 10, Training steps: 750, Loss: 86.088356
Epoch id: 10, Training steps: 1000, Loss: 51.470627
Epoch id: 10, Training steps: 1250, Loss: 74.638680
Event: total_right, total_predict, predict_right: 5002, 1778, 41
Event: precision, recall, and f1: 0.023, 0.008, 0.012
Role: total_right, total_predict, predict_right: 5354, 26883, 0
Role: precision, recall, and f1: 0.000, 0.000, 0.000
Saving middle model...
Epoch id: 11, Training steps: 250, Loss: 79.334137
Epoch id: 11, Training steps: 500, Loss: 65.236275
Epoch id: 11, Training steps: 750, Loss: 80.941925
Epoch id: 11, Training steps: 1000, Loss: 92.293892
Epoch id: 11, Training steps: 1250, Loss: 61.959965
Epoch id: 12, Training steps: 250, Loss: 64.633835
Epoch id: 12, Training steps: 500, Loss: 95.802246
Epoch id: 12, Training steps: 750, Loss: 71.933411
Epoch id: 12, Training steps: 1000, Loss: 77.865891
Epoch id: 12, Training steps: 1250, Loss: 89.178818
Epoch id: 13, Training steps: 250, Loss: 60.902283
Epoch id: 13, Training steps: 500, Loss: 70.227524
Epoch id: 13, Training steps: 750, Loss: 57.324821
Epoch id: 13, Training steps: 1000, Loss: 72.826126
Epoch id: 13, Training steps: 1250, Loss: 64.979248
Epoch id: 14, Training steps: 250, Loss: 75.734055
Epoch id: 14, Training steps: 500, Loss: 77.668762
Epoch id: 14, Training steps: 750, Loss: 49.346951
Epoch id: 14, Training steps: 1000, Loss: 64.503334
Epoch id: 14, Training steps: 1250, Loss: 62.451660
Epoch id: 15, Training steps: 250, Loss: 74.309792
Epoch id: 15, Training steps: 500, Loss: 45.492554
Epoch id: 15, Training steps: 750, Loss: 52.311974
Epoch id: 15, Training steps: 1000, Loss: 83.392075
Epoch id: 15, Training steps: 1250, Loss: 54.428570
Event: total_right, total_predict, predict_right: 5002, 8758, 474
Event: precision, recall, and f1: 0.054, 0.095, 0.069
Role: total_right, total_predict, predict_right: 5354, 128273, 16
Role: precision, recall, and f1: 0.000, 0.003, 0.000
Saving middle model...
Epoch id: 16, Training steps: 250, Loss: 72.324059
Epoch id: 16, Training steps: 500, Loss: 58.594261
Epoch id: 16, Training steps: 750, Loss: 68.117462
Epoch id: 16, Training steps: 1000, Loss: 100.848099
Epoch id: 16, Training steps: 1250, Loss: 57.251747
Epoch id: 17, Training steps: 250, Loss: 68.610924
Epoch id: 17, Training steps: 500, Loss: 54.227013
Epoch id: 17, Training steps: 750, Loss: 49.787064
Epoch id: 17, Training steps: 1000, Loss: 69.473846
Epoch id: 17, Training steps: 1250, Loss: 54.286461
Epoch id: 18, Training steps: 250, Loss: 81.044472
Epoch id: 18, Training steps: 500, Loss: 99.996002
Epoch id: 18, Training steps: 750, Loss: 96.836494
Epoch id: 18, Training steps: 1000, Loss: 72.825256
Epoch id: 18, Training steps: 1250, Loss: 70.808990
Epoch id: 19, Training steps: 250, Loss: 60.424763
Epoch id: 19, Training steps: 500, Loss: 82.738396
Epoch id: 19, Training steps: 750, Loss: 59.614120
Epoch id: 19, Training steps: 1000, Loss: 71.093246
Epoch id: 19, Training steps: 1250, Loss: 97.231384
Epoch id: 20, Training steps: 250, Loss: 79.201141
Epoch id: 20, Training steps: 500, Loss: 54.572525
Epoch id: 20, Training steps: 750, Loss: 75.434448
Epoch id: 20, Training steps: 1000, Loss: 54.833000
Epoch id: 20, Training steps: 1250, Loss: 47.807076
Event: total_right, total_predict, predict_right: 5002, 1597, 93
Event: precision, recall, and f1: 0.058, 0.019, 0.028
Role: total_right, total_predict, predict_right: 5354, 19179, 5
Role: precision, recall, and f1: 0.000, 0.001, 0.000
Saving middle model...
Epoch id: 21, Training steps: 250, Loss: 99.370499
